"subject","item","response","response_time","ambiguity","group","gap_filling","group_G","gap_filling_G","ambiguity_G"
"Native 1",9,"1",3739,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",22,"0",3000,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",1,"0",4587,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",7,"1",1791,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",16,"1",2705,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",21,"0",1914,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",19,"0",2490,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",11,"1",1797,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",12,"1",1744,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",6,"1",2085,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",13,"0",2284,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",2,"1",1632,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",14,"0",1526,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",8,"1",3415,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",20,"1",1910,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",10,"1",2519,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",3,"0",2644,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",24,"1",3237,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",23,"0",2275,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",4,"1",2134,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",18,"1",2996,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",17,"1",3227,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",5,"1",4305,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",15,"1",1968,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 2",10,"1",2074,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 2",14,"0",2003,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 2",20,"1",2414,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 2",1,"0",2714,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",3,"1",1319,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",6,"1",1820,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 2",23,"0",3213,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 2",9,"1",1392,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",4,"1",1155,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
