"subject","item","reading_time","ambiguity","group","gap_filling","group_G","gap_filling_G","ambiguity_G"
"Native 1",9,7332,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",22,4214,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",1,3889,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",7,5502,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",16,6048,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",21,5540,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",19,6460,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",11,6100,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",12,5111,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",6,4747,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",13,3508,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",2,5688,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",14,6009,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",8,4072,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",20,3477,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",10,6782,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",3,9763,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",24,6898,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",23,5104,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",4,3525,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 1",18,3523,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 1",17,3781,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 1",5,6241,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 1",15,8324,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 2",10,7414,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 2",14,6067,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 2",20,5290,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 2",1,11766,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",3,9436,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",6,4062,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 2",23,5479,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 2",9,5404,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",4,5731,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 2",12,6163,0.5,-0.5,-0.5,"Native","Filled_Gap","Ambiguous"
"Native 2",5,5476,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",11,4505,-0.5,-0.5,-0.5,"Native","Filled_Gap","Unambiguous"
"Native 2",18,8060,0.5,-0.5,0.5,"Native","Non_Filled_Gap","Ambiguous"
"Native 2",17,5185,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 2",21,6021,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 2",15,7937,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 2",19,7550,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
"Native 2",13,6376,-0.5,-0.5,0.5,"Native","Non_Filled_Gap","Unambiguous"
