"subject","item","response","response_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 1",17,1,"1476",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 1",13,0,"2984",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 1",4,1,"2039",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 1",11,1,"2446",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 1",2,1,"2503",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 1",10,0,"4702",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 1",16,0,"1578",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 1",7,0,"2354",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 1",1,1,"1425",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 1",8,1,"1786",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 1",14,1,"1961",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 1",5,1,"1362",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 2",15,0,"8773",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 2",3,0,"1875",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 2",10,1,"3389",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 2",1,1,"5060",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 2",18,0,"2659",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 2",12,1,"1932",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 2",7,1,"3006",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 2",9,1,"1648",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
