"subject","item","reading_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 1",29,5117,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 1",25,5683,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 1",16,5151,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 1",23,4266,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 1",14,4944,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 1",22,6865,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 1",28,9072,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 1",19,7014,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 1",13,6370,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 1",20,7753,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 1",26,6398,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 1",17,5248,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 2",27,4906,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 2",15,13039,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 2",22,7039,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 2",13,7125,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 2",30,12430,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 2",24,3454,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 2",19,252,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 2",21,8189,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 2",16,17615,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
