"subject","item","region","measure","condition","rawdata","group_G"
"Native 1",45,2,"fp",1,210,"Native"
"Native 1",29,2,"fp",1,203,"Native"
"Native 1",34,2,"fp",2,0,"Native"
"Native 1",36,2,"fp",4,357,"Native"
"Native 1",25,2,"fp",1,448,"Native"
"Native 1",42,2,"fp",2,181,"Native"
"Native 1",41,2,"fp",1,227,"Native"
"Native 1",46,2,"fp",2,388,"Native"
"Native 1",47,2,"fp",3,197,"Native"
"Native 1",39,2,"fp",3,206,"Native"
"Native 1",35,2,"fp",3,297,"Native"
"Native 1",48,2,"fp",4,233,"Native"
"Native 1",27,2,"fp",3,291,"Native"
"Native 1",31,2,"fp",3,206,"Native"
"Native 1",40,2,"fp",4,0,"Native"
"Native 1",38,2,"fp",2,617,"Native"
"Native 1",30,2,"fp",2,456,"Native"
"Native 1",32,2,"fp",4,515,"Native"
"Native 1",44,2,"fp",4,180,"Native"
"Native 1",37,2,"fp",1,361,"Native"
"Native 1",28,2,"fp",4,299,"Native"
"Native 1",26,2,"fp",2,614,"Native"
"Native 1",33,2,"fp",1,480,"Native"
"Native 1",43,2,"fp",3,160,"Native"
"Native 2",45,2,"fp",2,775,"Native"
"Native 2",39,2,"fp",4,158,"Native"
"Native 2",48,2,"fp",1,483,"Native"
"Native 2",32,2,"fp",1,231,"Native"
"Native 2",26,2,"fp",3,324,"Native"
"Native 2",42,2,"fp",3,1233,"Native"
"Native 2",37,2,"fp",2,142,"Native"
"Native 2",31,2,"fp",4,522,"Native"
"Native 2",25,2,"fp",2,207,"Native"
"Native 2",38,2,"fp",3,924,"Native"
"Native 2",35,2,"fp",4,193,"Native"
"Native 2",41,2,"fp",2,296,"Native"
"Native 2",34,2,"fp",3,240,"Native"
"Native 2",43,2,"fp",4,561,"Native"
"Native 2",33,2,"fp",2,334,"Native"
"Native 2",40,2,"fp",1,250,"Native"
"Native 2",30,2,"fp",3,198,"Native"
"Native 2",27,2,"fp",4,221,"Native"
"Native 2",36,2,"fp",1,163,"Native"
"Native 2",28,2,"fp",1,254,"Native"
"Native 2",44,2,"fp",1,259,"Native"
"Native 2",29,2,"fp",2,524,"Native"
"Native 2",47,2,"fp",4,258,"Native"
"Native 2",46,2,"fp",3,329,"Native"
"Native 3",46,2,"fp",4,335,"Native"
"Native 3",43,2,"fp",1,197,"Native"
"Native 3",39,2,"fp",1,321,"Native"
"Native 3",33,2,"fp",3,1003,"Native"
"Native 3",31,2,"fp",1,547,"Native"
"Native 3",29,2,"fp",3,453,"Native"
"Native 3",44,2,"fp",2,246,"Native"
"Native 3",27,2,"fp",1,315,"Native"
"Native 3",45,2,"fp",3,304,"Native"
"Native 3",37,2,"fp",3,182,"Native"
"Native 3",36,2,"fp",2,396,"Native"
"Native 3",32,2,"fp",2,244,"Native"
"Native 3",25,2,"fp",3,258,"Native"
"Native 3",26,2,"fp",4,189,"Native"
"Native 3",30,2,"fp",4,427,"Native"
"Native 3",28,2,"fp",2,707,"Native"
"Native 3",47,2,"fp",1,347,"Native"
"Native 3",48,2,"fp",2,256,"Native"
"Native 3",34,2,"fp",4,247,"Native"
"Native 3",38,2,"fp",4,325,"Native"
"Native 3",42,2,"fp",4,250,"Native"
"Native 3",35,2,"fp",1,430,"Native"
"Native 3",40,2,"fp",2,260,"Native"
"Native 3",41,2,"fp",3,0,"Native"
"Native 4",39,2,"fp",2,472,"Native"
"Native 4",27,2,"fp",2,442,"Native"
"Native 4",40,2,"fp",3,292,"Native"
"Native 4",38,2,"fp",1,464,"Native"
"Native 4",37,2,"fp",4,780,"Native"
"Native 4",26,2,"fp",1,504,"Native"
"Native 4",33,2,"fp",4,330,"Native"
"Native 4",47,2,"fp",2,308,"Native"
"Native 4",45,2,"fp",4,482,"Native"
"Native 4",36,2,"fp",3,922,"Native"
"Native 4",46,2,"fp",1,189,"Native"
"Native 4",35,2,"fp",2,597,"Native"
"Native 4",48,2,"fp",3,396,"Native"
"Native 4",41,2,"fp",4,542,"Native"
"Native 4",30,2,"fp",1,273,"Native"
"Native 4",42,2,"fp",1,0,"Native"
"Native 4",44,2,"fp",3,172,"Native"
"Native 4",43,2,"fp",2,1221,"Native"
"Native 4",31,2,"fp",2,937,"Native"
"Native 4",32,2,"fp",3,180,"Native"
"Native 4",25,2,"fp",4,307,"Native"
"Native 4",34,2,"fp",1,190,"Native"
"Native 4",28,2,"fp",3,282,"Native"
"Native 4",29,2,"fp",4,603,"Native"
"Native 5",46,2,"fp",2,225,"Native"
"Native 5",32,2,"fp",4,430,"Native"
"Native 5",45,2,"fp",1,358,"Native"
"Native 5",33,2,"fp",1,815,"Native"
